GENES,F20,F18,F22,E18,E19,F24,E22,E24,F23,F19,E23
ENSG00000210082,6.000026935302638,5.982872289164917,6.022005935849508,6.6342645842905705,6.663644032539348,6.611027320009365,6.747570884821457,6.739241807941128,6.800565842518012,6.625280263017006,6.6433753596007925
ENSG00000198886,5.634406564247012,5.57102499301595,5.741018838056195,5.821459294550223,5.783379338936816,5.936877115050567,5.893658136847236,5.676742950508152,5.749344933843781,5.725102050908798,5.852076073091519
ENSG00000198938,5.619394600426652,5.450632095088165,5.339286950867595,5.533590597930025,5.605349695385968,5.49534462730593,5.454002590201062,5.390533218438986,5.479390303891032,5.499033654844232,5.606766402987001
ENSG00000198727,5.550930741734838,5.5324823557177405,5.780772644146836,5.586212381490622,5.511946780399273,5.573814408194864,5.567565524191814,5.5663298350658765,5.6852990138542925,5.595150836154634,5.58992041775538
ENSG00000198888,5.745354102117803,5.7565427353621885,5.5486166874944285,5.542943405127264,5.50710028927683,5.626091397735274,5.485819616716834,5.63298965537963,5.510578050248537,5.608157655638951,5.618627837957593
ENSG00000132432,5.347294434705583,5.270279837055692,5.522403182816812,5.383028563194431,5.4712426767089735,5.52042370965202,5.61710796307236,5.531255982321697,5.503880360860686,5.606864560315287,5.526035197201898
ENSG00000198712,5.183132442475066,5.229487043851141,5.329671633934626,5.150406541013737,5.153893496734514,5.259083257528767,5.32440000315732,5.291696321329398,5.166616928068956,5.271860272303976,5.183895861603544
ENSG00000198899,5.211959669225314,5.1893698799158345,5.053203364030429,5.200806514751751,5.139964264190441,5.288512898521068,5.177170875820723,5.2589767241127685,5.201771304996583,5.2217884696311625,5.224930684758385
ENSG00000198840,5.226067526888358,5.407049373197712,5.511722304592672,5.158984918183213,5.13115892553792,5.433615499678904,5.204094519592034,5.26048743556888,5.214417606376028,5.150870055246319,5.0884177863363895
ENSG00000198786,5.000763095345086,5.179691969813726,5.306869684748124,5.031624582161502,5.129388515349573,5.256783154896223,5.082424931934152,5.04014771399364,5.057279049370082,5.146778717088403,5.037027276426791
ENSG00000198763,5.0751422112313245,5.119571031340425,5.199128412550782,5.157275119734858,5.164214553157524,5.108091720052271,4.9714880403140125,5.093279609876451,5.2126207540130025,5.1889250029537415,5.2957772710371485
ENSG00000269028,4.59515460252382,4.3494785486231775,5.018643375822824,4.717308181898293,4.691820078913325,4.729337714218626,4.897591020306254,4.6463186018339275,4.9006846729886835,4.6226617345578775,4.701885748680624
ENSG00000075624,4.671171985956076,4.706740664467497,4.700471906848805,4.733124439503069,4.678001635005658,4.664867713979448,4.653538912444184,4.660171545107199,4.602323190856583,4.9403236115338,4.7423445515805325
ENSG00000212907,4.435652509871973,4.409014913547198,4.8972851277663,4.305665639368901,4.254765362823547,4.713605672175969,4.749553194621616,4.901074201367497,4.763999677308616,4.473598006528028,4.251295368637891
ENSG00000184009,4.837160688689921,4.878396487565015,4.712483731430612,4.8420447385789815,4.7885412766336115,4.7935680576458175,4.817794367238778,4.7137404928590145,4.708997650865139,4.901791939164814,4.925572861624653
ENSG00000228253,4.718818578749212,4.759921332045819,4.8972851277663,4.794000652895964,4.7607505526942955,5.0039961198844765,5.016549093762905,5.0192320142948175,4.690980709079554,4.746260271784861,4.713613398955023
ENSG00000211459,4.410638433522799,4.46022528959156,4.598800079444163,4.6876455706146585,4.544208220537193,4.6438376299737145,4.54089264838929,4.786648096994873,4.666441775765757,4.572977643330406,4.5492469490290715
ENSG00000198804,4.501379851455165,4.745013238429656,4.841149259112865,4.622626025793366,4.581672683572387,4.577955995370506,4.612394038577956,4.671117366668894,4.6348962944208685,4.605199428417167,4.542352229181616
ENSG00000205542,4.3519584562540885,4.414255587206587,4.240704007430823,4.18203289862522,4.142459859913435,4.0829354346384665,4.13269928052973,4.191443626470918,4.195249161514076,4.213447548292276,4.1490554932517645
ENSG00000108518,4.636414942118113,4.679050730559641,4.522376455928259,4.607914010694345,4.52168771697279,4.545659913893642,4.453385777493184,4.508969729485261,4.5086766657499835,4.445064039609171,4.492710410315543
ENSG00000251562,4.151911771111415,4.014824021030793,4.129483550801445,4.186560571298217,4.197942076036998,4.044984075513304,4.0931506754450915,4.191443626470918,4.0624486687995,4.037194231066771,4.164316891653747
