,E18,E19,E20,E22,E23,E24,F18,F19,F20,F21,F22,F23,F24
ENSG00000210082,6.6342645842905705,6.663644032539348,6.853767120995886,6.747570884821458,6.6433753596007925,6.739241807941128,5.982872289164918,6.625280263017006,6.000026935302637,6.821624309949301,6.022005935849508,6.800565842518013,6.611027320009365
ENSG00000198886,5.821459294550224,5.783379338936816,5.9190709231656236,5.893658136847236,5.852076073091519,5.676742950508153,5.571024993015949,5.725102050908798,5.634406564247012,5.816545416767996,5.741018838056195,5.74934493384378,5.936877115050568
ENSG00000198938,5.533590597930025,5.605349695385968,5.441770410358803,5.454002590201062,5.606766402987001,5.390533218438985,5.450632095088165,5.499033654844232,5.619394600426652,5.452791568766637,5.339286950867595,5.479390303891031,5.49534462730593
ENSG00000198727,5.586212381490621,5.511946780399274,5.470634173646669,5.567565524191814,5.58992041775538,5.5663298350658765,5.5324823557177405,5.595150836154634,5.550930741734839,5.585271130704409,5.780772644146836,5.685299013854293,5.573814408194864
ENSG00000198888,5.542943405127265,5.50710028927683,5.46429161677183,5.485819616716834,5.618627837957594,5.63298965537963,5.7565427353621885,5.608157655638951,5.745354102117802,5.519295246290306,5.548616687494428,5.510578050248537,5.626091397735274
ENSG00000132432,5.383028563194431,5.471242676708974,5.486316769665851,5.617107963072361,5.526035197201898,5.531255982321696,5.270279837055692,5.6068645603152865,5.347294434705583,5.56703609730939,5.522403182816812,5.503880360860686,5.52042370965202
ENSG00000198712,5.150406541013737,5.153893496734514,5.224572824985485,5.3244000031573195,5.183895861603544,5.291696321329398,5.229487043851141,5.271860272303977,5.183132442475065,5.328474371209202,5.329671633934626,5.166616928068956,5.259083257528766
ENSG00000198899,5.200806514751751,5.139964264190442,5.356925295613256,5.177170875820723,5.224930684758385,5.2589767241127685,5.189369879915835,5.221788469631162,5.211959669225314,5.129226844529259,5.053203364030429,5.201771304996583,5.288512898521068
ENSG00000198840,5.158984918183213,5.13115892553792,5.118012703322673,5.204094519592034,5.0884177863363895,5.26048743556888,5.407049373197712,5.150870055246319,5.226067526888358,5.250779884316973,5.511722304592671,5.214417606376027,5.433615499678903
ENSG00000198786,5.031624582161502,5.129388515349573,5.339056911939718,5.082424931934151,5.037027276426791,5.04014771399364,5.179691969813727,5.146778717088404,5.000763095345086,5.123508351860184,5.306869684748124,5.057279049370082,5.256783154896224
ENSG00000198763,5.157275119734859,5.164214553157523,5.342656222311105,4.9714880403140125,5.2957772710371485,5.093279609876451,5.119571031340425,5.1889250029537415,5.075142211231324,5.0188092944616045,5.199128412550782,5.2126207540130025,5.108091720052272
ENSG00000269028,4.717308181898293,4.691820078913324,5.422054415457955,4.897591020306254,4.701885748680624,4.646318601833928,4.3494785486231775,4.622661734557878,4.59515460252382,4.733328928287973,5.0186433758228235,4.900684672988683,4.729337714218626
ENSG00000075624,4.733124439503068,4.678001635005658,4.67900282541663,4.6535389124441835,4.742344551580532,4.6601715451071986,4.706740664467497,4.9403236115338,4.671171985956076,4.887433133054902,4.700471906848805,4.602323190856583,4.664867713979448
ENSG00000212907,4.305665639368901,4.254765362823547,5.256406009138564,4.749553194621616,4.251295368637891,4.901074201367497,4.409014913547198,4.473598006528028,4.435652509871973,4.695926894508066,4.8972851277663,4.763999677308616,4.71360567217597
ENSG00000184009,4.8420447385789815,4.788541276633611,4.699717320638387,4.817794367238778,4.925572861624653,4.713740492859015,4.8783964875650145,4.901791939164814,4.837160688689921,4.801546761044461,4.712483731430612,4.708997650865139,4.7935680576458175
ENSG00000228253,4.7940006528959636,4.760750552694295,4.9196694534992105,5.016549093762905,4.713613398955024,5.0192320142948175,4.759921332045819,4.746260271784861,4.718818578749212,4.872802836439688,4.8972851277663,4.690980709079554,5.003996119884477
ENSG00000211459,4.6876455706146585,4.544208220537193,4.706527883953643,4.54089264838929,4.549246949029071,4.786648096994873,4.46022528959156,4.572977643330405,4.410638433522799,4.509560526315899,4.598800079444163,4.666441775765758,4.6438376299737145
ENSG00000198804,4.622626025793366,4.581672683572388,4.67900282541663,4.612394038577956,4.542352229181616,4.671117366668893,4.745013238429655,4.6051994284171665,4.501379851455165,4.513086434081075,4.841149259112865,4.634896294420868,4.577955995370507
ENSG00000205542,4.18203289862522,4.142459859913435,4.228337646242684,4.13269928052973,4.1490554932517645,4.191443626470918,4.414255587206587,4.213447548292276,4.351958456254089,4.196981804567909,4.240704007430824,4.195249161514076,4.0829354346384665
ENSG00000108518,4.607914010694345,4.52168771697279,4.6928600553016295,4.4533857774931835,4.492710410315543,4.508969729485262,4.679050730559642,4.445064039609172,4.636414942118113,4.780219170902103,4.522376455928259,4.508676665749984,4.545659913893641
ENSG00000251562,4.186560571298216,4.197942076036998,4.183553023923464,4.093150675445092,4.164316891653746,4.191443626470918,4.014824021030793,4.037194231066772,4.151911771111415,4.0461371763297365,4.129483550801445,4.0624486687995,4.0449840755133035
ENSG00000248527,4.41568140561438,4.33240572295516,4.636240346290832,4.369027748697509,4.274171474519096,4.33838285727963,4.2374755391873835,4.335946633083093,4.057354517108631,4.293557408874088,4.278265486251196,4.368384947819293,4.404910488693326
ENSG00000080824,4.1403340170136405,4.233290656265071,4.217328114277428,4.103185424398701,4.208751489139372,4.141870509557289,4.045521144779108,4.0857361707631386,3.932694080342044,4.079268293019037,4.0163746380157965,4.159807599736687,3.972816229739237
ENSG00000026025,2.9513110441256023,2.7890088431042375,2.9056076788892424,2.721509726162261,2.809012781138686,2.6448814530778506,2.72465595944146,2.563332783431971,3.1754243532599418,2.580084527179948,2.6597397835932215,2.7425627890534443,2.927053355732266
ENSG00000111640,4.191067836514955,4.336329743356748,3.981179312818844,4.259964934761411,4.232610064017776,4.242860044707863,4.179698888667601,4.143276764220807,4.24579053535468,4.201798416903191,4.201676415451958,4.29910184217177,4.221793423423745
ENSG00000120708,3.8064405335423475,3.913763483332513,3.7626908139444275,3.5595750532860038,3.629919091344779,3.596384358212571,3.778571564201113,3.7838140184831786,3.678218384899243,3.556110849222047,3.571240549370207,3.68782984274949,3.6634574180967427
ENSG00000166710,3.3548871976985,3.10239245311238,3.05781129208538,3.213805423558604,3.0357592019142183,3.1010624099602913,3.1176257725304803,2.9240310251436865,3.278783010268672,2.908776925251064,3.103155660693246,2.899658984471011,2.9732900429207985
ENSG00000197956,3.912881036928472,3.883428897850735,3.7450944224732448,3.7108855417670368,3.712557338794194,3.730473730945698,3.606688488492731,3.823084548686665,3.766416408508887,3.8203446406714043,3.7582094569442046,3.7748213207125634,3.729224883738812
ENSG00000123416,4.061616891525143,3.98857933976328,3.981179312818844,3.8928262928634494,4.0910156567583496,3.867102752709618,3.975078089625785,4.055674684424378,3.9224289783949655,3.9333351125423994,3.818373814154186,3.895940729565231,3.760554654659876
ENSG00000065978,4.293562099595423,4.19343433538802,4.342059680559108,4.285249762262104,4.283177372070861,4.2088778273950265,4.2802130160894265,4.239177298108107,4.416950856522886,4.275866849733953,4.181576165451238,4.321272858003732,4.215289902269514
ENSG00000231500,3.9761698495849616,4.04778701316048,3.9951010454224267,4.072773940984941,4.080091254560886,3.914606368771581,4.03029036745628,3.946126699938332,4.066329763660695,4.147494973763524,3.954630139653655,3.9795751970795905,4.029390846855461
ENSG00000137154,4.186560571298216,4.267432257966073,4.291964714515271,4.189235699347323,4.223134831789554,4.2045476897163185,4.27421835495065,4.208221191226111,4.207739493227909,4.177479950130475,4.383160844331965,4.2579115353288195,4.090355881054787
ENSG00000137818,3.765994052198942,3.8393525370881143,3.6124028595746434,3.9409387722622435,3.8106913543006486,3.9029403407194745,3.817292723092512,3.925484470569667,3.6379002591585827,3.920685938605533,3.6605783014810878,3.6627299924290417,3.6170794994806896
ENSG00000167996,3.481435784589426,3.62476785968911,3.3858647310903383,3.6016655846528587,3.6384970770386085,3.513307647019043,3.4820184514408634,3.476824140550603,3.595888040390403,3.684916810943932,3.51353733909788,3.380761518819411,3.5173250302026733
ENSG00000138326,3.772849761451687,3.62476785968911,3.7626908139444275,3.6959942428280415,3.743790797501666,3.7374211028846913,3.9080038841196147,3.682750539044356,3.9120574102994623,3.7549215630946984,3.928823787599681,3.8192635662176766,3.858419384178797
ENSG00000135480,4.040929822702816,4.063344184644511,4.206196021933943,4.161366982569162,4.029398504923774,4.151068518296904,3.966935756528093,4.079795734506326,4.151911771111415,3.939600200522378,4.074527445920252,3.9289407298409023,3.9039797883398473
ENSG00000134333,3.786421768665114,3.5840592161719917,3.632471241524092,3.7542734405050644,3.743790797501666,3.7164324906801776,3.925198905921387,3.9663514312399712,3.678218384899243,3.6521579266409474,4.107862162097879,3.759557216137181,3.7707835206682847
ENSG00000146648,4.1355916239203045,4.042547037012213,4.124595442842898,3.9641539109051847,4.123090555868756,3.998015859500012,3.916638353162043,4.154397980410754,4.075225171205679,4.023423793473278,3.8888209071504587,4.015936471114369,3.9974554215728086
ENSG00000171858,3.7590910175611194,3.971804269447099,3.72718284356956,3.92912592075462,3.824969336004284,3.891136608415009,3.788393320777665,4.024681422215601,3.8362785934444914,3.9520138379879914,3.5331440419252274,3.8264823078846897,3.729224883738812
