	E18	E19	E20	E22	E23	E24	F18	F19	F20	F21	F22	F23	F24
ENSG00000210082	6.6342645842905705	6.663644032539348	6.853767120995887	6.747570884821457	6.6433753596007925	6.739241807941128	5.982872289164917	6.625280263017006	6.000026935302638	6.8216243099493	6.022005935849508	6.800565842518012	6.611027320009365
ENSG00000198886	5.821459294550223	5.783379338936816	5.919070923165624	5.893658136847236	5.852076073091519	5.676742950508152	5.57102499301595	5.725102050908798	5.634406564247012	5.816545416767997	5.741018838056195	5.749344933843781	5.936877115050567
ENSG00000198938	5.533590597930025	5.605349695385968	5.441770410358803	5.454002590201062	5.606766402987001	5.390533218438986	5.450632095088165	5.499033654844232	5.619394600426652	5.452791568766637	5.339286950867595	5.479390303891032	5.49534462730593
ENSG00000198727	5.586212381490622	5.511946780399273	5.470634173646669	5.567565524191814	5.58992041775538	5.5663298350658765	5.5324823557177405	5.595150836154634	5.550930741734838	5.585271130704409	5.780772644146836	5.6852990138542925	5.573814408194864
ENSG00000198888	5.542943405127264	5.50710028927683	5.46429161677183	5.485819616716834	5.618627837957593	5.63298965537963	5.7565427353621885	5.608157655638951	5.745354102117803	5.519295246290307	5.5486166874944285	5.510578050248537	5.626091397735274
ENSG00000132432	5.383028563194431	5.4712426767089735	5.4863167696658515	5.61710796307236	5.526035197201898	5.531255982321697	5.270279837055692	5.606864560315287	5.347294434705583	5.567036097309389	5.522403182816812	5.503880360860686	5.52042370965202
ENSG00000198712	5.150406541013737	5.153893496734514	5.2245728249854855	5.32440000315732	5.183895861603544	5.291696321329398	5.229487043851141	5.271860272303976	5.183132442475066	5.328474371209202	5.329671633934626	5.166616928068956	5.259083257528767
ENSG00000198899	5.200806514751751	5.139964264190441	5.356925295613256	5.177170875820723	5.224930684758385	5.2589767241127685	5.1893698799158345	5.2217884696311625	5.211959669225314	5.129226844529259	5.053203364030429	5.201771304996583	5.288512898521068
ENSG00000198840	5.158984918183213	5.13115892553792	5.118012703322673	5.204094519592034	5.0884177863363895	5.26048743556888	5.407049373197712	5.150870055246319	5.226067526888358	5.250779884316972	5.511722304592672	5.214417606376028	5.433615499678904
ENSG00000198786	5.031624582161502	5.129388515349573	5.339056911939718	5.082424931934152	5.037027276426791	5.04014771399364	5.179691969813726	5.146778717088403	5.000763095345086	5.123508351860184	5.306869684748124	5.057279049370082	5.256783154896223
ENSG00000198763	5.157275119734858	5.164214553157524	5.342656222311105	4.9714880403140125	5.2957772710371485	5.093279609876451	5.119571031340425	5.1889250029537415	5.0751422112313245	5.0188092944616045	5.199128412550782	5.2126207540130025	5.108091720052271
