GENES,L19,L24,K18,L23,K23
ENSG00000210082,6.187859087917457,6.941518230937043,6.898412854248522,6.952113192982306,7.019260037953002
ENSG00000198886,5.414060808589091,5.715405555655569,5.846357702685581,5.900873413091157,5.748964540877715
ENSG00000198938,5.590642104089762,5.513803769608343,5.491265989363089,5.521896466561496,5.453888447796936
ENSG00000198727,5.116316873334139,5.417797927001862,5.441732403477428,5.458152003484645,5.501026311460712
ENSG00000198888,5.134725858642383,5.366101659160463,5.430791147850638,5.459838273434409,5.432203228504624
ENSG00000132432,3.768926133027751,4.995260928953865,5.196301887762607,5.1152628679505225,5.196371602492295
ENSG00000198712,5.278865065077294,5.229899236427081,5.2700142814666275,5.315057650947913,5.2393749651788095
ENSG00000198899,5.0622388139779,5.17234042355634,5.246042174143869,5.273304158017822,5.149013595919615
ENSG00000198840,4.65667073819414,4.954464764231235,5.156096760662177,5.076472476558549,4.962996513613784
ENSG00000198786,4.258380581623385,5.1085231917175244,5.184643716782384,5.0590167624711375,4.924288995505617
ENSG00000198763,4.793911463914502,5.195259591603398,5.216950098702715,5.0739973809320205,5.044297886563476
ENSG00000269028,3.668763664726192,5.080681873803552,5.225991984618997,5.017935316649616,4.957138163086118
ENSG00000075624,5.078449934886558,4.700586068450937,4.7067125703056325,4.7350687502513225,4.704474807694701
ENSG00000212907,3.7807694207877938,4.979766428670193,4.841005524929886,4.58122234549107,4.432297581245125
ENSG00000184009,4.699855962886732,4.704706360260851,4.699119190752026,4.531321129284692,4.64606836808219
ENSG00000228253,4.497552780261358,4.925213562042259,5.067853589353959,4.910103585011849,4.905905786959423
ENSG00000211459,4.661562230408809,4.9383198408364,5.073111382588027,4.924595542135833,4.933355405141082
ENSG00000198804,4.933336767004209,4.75286945228657,4.732844321844851,4.6326119743519865,4.700685402870673
ENSG00000205542,4.718466604383196,4.175069058891595,4.324405992474921,4.182881178083587,4.1600441676034805
ENSG00000108518,4.083243767739898,4.382444425294201,4.2614880633612415,4.442185218965863,4.322177740516132
ENSG00000251562,4.3883116951030114,4.287248653343102,4.35174674231592,4.275152322538987,4.253340864584018
ENSG00000248527,4.53700851995349,4.3710288804643405,4.4590533792717055,4.522756683401208,4.466464911542019
ENSG00000080824,4.15863298755554,3.999985964403714,4.219284807967125,3.997564656034199,4.020341547822978
ENSG00000026025,4.322034637308292,3.7347931152342655,3.6222857370177994,3.5341923267940847,3.5974610232836137
ENSG00000111640,4.349074821446694,4.242570332359296,4.1291270881233215,4.12056542767376,4.210882973287879
ENSG00000120708,4.62680841382092,3.9221604014452898,3.7580679580307823,3.8982654362320237,3.9010524383543927
ENSG00000166710,4.695148676272135,3.3571452485311646,3.397430772480172,3.5225676681363454,3.381142425123437
ENSG00000197956,4.514653352586679,3.913127046912788,3.738341234741892,3.8982654362320237,3.8401078589428086
ENSG00000123416,4.335646123037972,3.6675043702254166,3.6976805171099594,3.8738789402041967,3.81280712978436
ENSG00000065978,3.7569408990133732,4.175069058891595,4.007451924043761,4.139671246858772,4.179412857068189
ENSG00000231500,4.029629349057124,3.974711160169972,3.976534836935501,4.06095499963517,4.049887103576716
ENSG00000137154,3.628455670414186,3.7978381397498215,3.936493808233591,4.094509565110027,4.012816718119726
ENSG00000137818,3.9333428995080872,3.6904407346808887,3.7963910080580057,3.579384992924382,3.7361368373799153
ENSG00000167996,4.413639603269083,3.7772616207930954,3.5036473608665646,3.5682768531571734,3.67451190467366
ENSG00000138326,3.9433996030298437,3.84749998804636,3.805746610937372,3.840410014182871,3.803538707456637
ENSG00000135480,4.001704193374762,3.8571431155308633,4.022559252306288,3.922071361081667,4.120143666227866
ENSG00000134333,3.7807694207877938,4.01648777118458,3.8332994473894697,3.788007718287005,4.012816718119726
ENSG00000146648,2.279977295855909,3.991631808603069,3.851255088576147,4.00480975202609,3.9260758468745007
ENSG00000171858,3.7075096815406914,3.6790383106135667,3.718217523435928,3.788007718287005,3.803538707456637
ENSG00000182718,4.1258262204964335,3.6790383106135667,3.5881483024079417,3.611987717506887,3.4497620891150063
ENSG00000172757,4.182550515961656,3.8571431155308633,3.5996574191193367,3.6741678061590584,3.866683022882048
ENSG00000105974,3.2496218265358645,4.0798996497285565,3.8241992595528003,3.823245894029007,3.9260758468745007
ENSG00000125148,3.9333428995080872,3.607750582650112,3.4519486496968588,3.643560979422977,3.6312122863782363
ENSG00000142937,3.512277184693684,3.7347931152342655,3.928289549515804,3.788007718287005,3.866683022882048
ENSG00000070756,3.5720526596160496,3.8855268051415663,3.6976805171099594,3.796934356451673,3.803538707456637
ENSG00000067225,4.166669225826753,3.4763309213186653,3.0879815901538867,3.5341923267940847,3.3074649039994486
ENSG00000156482,3.9533561754194766,3.6558358442447765,3.5161649548346547,3.5456834041134067,3.695478351879788
ENSG00000069275,3.464977354978879,3.6558358442447765,3.5881483024079417,3.6012378155448967,3.755862510002945
ENSG00000133112,4.190397570830732,3.6440295546861483,3.644413323951897,3.5682768531571734,3.7361368373799153
ENSG00000140988,3.9533561754194766,3.6675043702254166,3.5647249011367528,3.6012378155448967,3.608838486901152
ENSG00000135446,2.514284994569395,3.6675043702254166,3.655296174160551,3.7699117709726386,3.695478351879788
ENSG00000197756,3.768926133027751,3.462186734037936,3.633410732999197,3.5341923267940847,3.4228765812742665
ENSG00000074800,3.9333428995080872,3.7772616207930954,3.5285277938084594,3.5225676681363454,3.608838486901152
ENSG00000106211,2.7379547891454257,3.221807569613337,3.478132062674017,3.590371096278977,3.4228765812742665
ENSG00000071082,3.600651774767873,3.7128627965135688,3.860113436887545,3.7135720667043084,3.705798999972538
ENSG00000148303,3.7325306898437387,3.6440295546861483,3.4385952840401317,3.5570439352706438,3.74604831067296
ENSG00000146731,2.6323604217819225,3.607750582650112,3.74825323854911,3.7421386366586527,3.81280712978436
ENSG00000083845,3.0750281077322423,3.462186734037936,3.4909710883681155,3.2862568369513565,3.5974610232836137
ENSG00000255823,3.121616405280421,3.9399859311879255,3.8241992595528003,3.9902666853108943,3.849044948116087
ENSG00000164587,4.029629349057124,3.6675043702254166,3.7677872842933238,3.4623266324899395,3.7160142194535823
ENSG00000019582,4.221184151503359,2.5501943451663167,2.2815413039138037,2.458996299356103,2.3213715932852654
ENSG00000163191,4.117453556734076,3.4478396149867243,3.5528041891220115,3.3438059762088512,3.2764036126050398
ENSG00000181019,4.182550515961656,3.0219481156848835,2.723548118524086,2.5557679616712456,2.6050076133284232
ENSG00000125691,3.7807694207877938,3.607750582650112,3.5996574191193367,3.7135720667043084,3.6312122863782363
ENSG00000182899,3.668763664726192,3.607750582650112,3.4909710883681155,3.424359402259189,3.72612614253184
ENSG00000096384,3.7325306898437387,3.2573975012656273,3.4651260501269845,3.3154453373927053,3.4629385519213214
ENSG00000142676,3.668763664726192,3.787602803479377,3.5528041891220115,3.5225676681363454,3.526335953082282
ENSG00000122406,2.8633654801957547,3.5828121318796367,3.5407396575774968,3.5570439352706438,3.5743102335793195
ENSG00000198744,3.8814839603862112,3.787602803479377,3.842317568072743,3.611987717506887,3.67451190467366
ENSG00000167553,3.7807694207877938,3.4763309213186653,3.3397684438945037,3.4868602150119337,3.4759436510752724
ENSG00000247627,3.380805008998033,3.607750582650112,3.7963910080580057,3.760739498458334,3.705798999972538
ENSG00000109475,3.655507376113759,3.308514561277786,3.3248179347433537,3.411376422104153,3.653096434338549
ENSG00000196230,3.7448102748683896,3.4902778375611687,3.5161649548346547,3.411376422104153,3.56253070189172
ENSG00000196262,3.8490265746440495,3.1659287770029594,3.1964132450474705,3.256190686482147,3.3952482250652904
ENSG00000234745,4.1004949438119604,2.1658092401381523,2.1442685008685056,2.3888536198814205,2.4732122481056007
ENSG00000142871,2.514284994569395,3.433283656227895,3.5036473608665646,3.3438059762088512,3.4364096862899784
ENSG00000249072,3.0008045709488727,3.6558358442447765,3.842317568072743,3.6741678061590584,3.794183577204288
ENSG00000108298,3.44870015917134,3.6558358442447765,3.3248179347433537,3.4623266324899395,3.366834801308088
ENSG00000087460,3.8040433339841764,3.3571452485311646,3.1436663761529418,3.143212950649651,3.123288246525625
ENSG00000154978,1.898951038510906,3.3882996397519225,3.2785766142975517,2.8698097664484017,3.4497620891150063
ENSG00000213741,3.398215828874764,3.462186734037936,3.4909710883681155,3.5456834041134067,3.381142425123437
ENSG00000034510,3.512277184693684,3.0652434215651727,3.106889819777122,3.27133675413643,3.0268633521916586
ENSG00000136810,3.972976766184871,3.086207846769472,3.262675146125228,3.3009575794615262,3.141505677503139
ENSG00000167658,3.4153286923697355,3.274728477011557,3.0290122080796023,3.193202533549796,2.874041235654764
ENSG00000072110,3.4321536261610626,3.3728437637468573,3.3248179347433537,3.384893576836812,3.123288246525625
ENSG00000170315,3.187665892579375,3.106741774537804,3.1615595901617013,3.0539077717484235,3.2605035097703694
ENSG00000244052,3.0985935406573017,3.3571452485311646,3.309640511090268,3.498904925515497,3.4759436510752724
ENSG00000008988,3.557440420723875,2.827167402349966,2.8761720379097335,3.193202533549796,2.985530031274556
ENSG00000143947,3.398215828874764,3.4902778375611687,3.4651260501269845,3.256190686482147,3.1942475376942854
ENSG00000214182,3.026162828072709,3.274728477011557,3.3397684438945037,3.256190686482147,3.1047327729669987
ENSG00000112306,3.2293933721603025,3.1268625299428385,3.4250611899544143,3.5225676681363454,3.5385470115944844
ENSG00000145592,3.5426114941006817,3.308514561277786,3.687251654206388,3.3154453373927053,3.2443465033727112
