GENES,L19,L24,L18,K20
ENSG00000210082,6.187859087917457,6.941518230937043,6.798137837271197,6.9739817408231835
ENSG00000198886,5.414060808589091,5.715405555655569,5.80414715999732,5.74033104207208
ENSG00000198938,5.590642104089762,5.513803769608343,5.436496375574619,5.4474964463685716
ENSG00000198727,5.116316873334139,5.417797927001862,5.694364335607407,5.515369207302629
ENSG00000198888,5.134725858642383,5.366101659160463,5.506021638403012,5.288851370157862
ENSG00000132432,3.768926133027751,4.995260928953865,5.2113538285233565,5.172612564253093
ENSG00000198712,5.278865065077294,5.229899236427081,5.314104277823967,5.147650778587417
ENSG00000198899,5.0622388139779,5.17234042355634,5.234277941399703,5.2226971609982975
ENSG00000198840,4.65667073819414,4.954464764231235,5.037303151664712,4.903089733459768
ENSG00000198786,4.258380581623385,5.1085231917175244,5.130906715030774,5.0245244295802864
ENSG00000198763,4.793911463914502,5.195259591603398,5.1665643529338645,5.084622028584092
ENSG00000269028,3.668763664726192,5.080681873803552,4.8888178426772955,5.319470060922496
ENSG00000075624,5.078449934886558,4.700586068450937,4.779940114455728,4.525162927114941
ENSG00000212907,3.7807694207877938,4.979766428670193,4.630483163784515,4.4131333515167634
ENSG00000184009,4.699855962886732,4.704706360260851,4.64873876656273,4.582373720078137
ENSG00000228253,4.497552780261358,4.925213562042259,4.822645665733434,4.884080841424263
ENSG00000211459,4.661562230408809,4.9383198408364,4.8816779361012514,4.978204032003818
ENSG00000198804,4.933336767004209,4.75286945228657,4.625866710608565,4.80717677862809
ENSG00000205542,4.718466604383196,4.175069058891595,4.1853618324951425,4.291919667604037
ENSG00000108518,4.083243767739898,4.382444425294201,4.2275868701255135,4.148254246320621
ENSG00000251562,4.3883116951030114,4.287248653343102,4.374706816375427,4.36363161468271
ENSG00000248527,4.53700851995349,4.3710288804643405,4.460171992329756,4.48102510086264
ENSG00000080824,4.15863298755554,3.999985964403714,4.126136537309772,4.1708847919107805
ENSG00000026025,4.322034637308292,3.7347931152342655,3.7287115876329864,3.6554232378384417
ENSG00000111640,4.349074821446694,4.242570332359296,4.350626224396112,4.1425156723967005
ENSG00000120708,4.62680841382092,3.9221604014452898,3.9424670302193,3.8808874407846456
ENSG00000166710,4.695148676272135,3.3571452485311646,3.5143722475727923,3.424663160458411
ENSG00000197956,4.514653352586679,3.913127046912788,3.7511549620113303,3.9318966782588602
ENSG00000123416,4.335646123037972,3.6675043702254166,4.02172205765281,3.9529856379314503
ENSG00000065978,3.7569408990133732,4.175069058891595,4.199635870515622,4.1764633019465665
ENSG00000231500,4.029629349057124,3.974711160169972,3.995995379412623,3.980429769008461
ENSG00000137154,3.628455670414186,3.7978381397498215,4.038512680874905,4.013708539777884
ENSG00000137818,3.9333428995080872,3.6904407346808887,3.8859105417340474,3.770329856767981
ENSG00000167996,4.413639603269083,3.7772616207930954,3.670295296237661,3.5466847593574995
ENSG00000138326,3.9433996030298437,3.84749998804636,3.846347207228456,3.786892038201152
ENSG00000135480,4.001704193374762,3.8571431155308633,4.030152609478421,3.9460052843330136
ENSG00000134333,3.7807694207877938,4.01648777118458,4.087256500228071,3.8957289344015895
ENSG00000146648,2.279977295855909,3.991631808603069,3.9515897743888773,3.9175861674276318
ENSG00000171858,3.7075096815406914,3.6790383106135667,3.762190543107685,3.8031843768971605
ENSG00000182718,4.1258262204964335,3.6790383106135667,3.7839029386695855,3.7534887432742416
ENSG00000172757,4.182550515961656,3.8571431155308633,4.133734382347905,3.6831361284831634
ENSG00000105974,3.2496218265358645,4.0798996497285565,3.9424670302193,4.052234154815588
ENSG00000125148,3.9333428995080872,3.607750582650112,3.6335340637056097,3.4363921518949034
ENSG00000142937,3.512277184693684,3.7347931152342655,3.7511549620113303,3.7449606197337477
ENSG00000070756,3.5720526596160496,3.8855268051415663,3.773105668246278,3.761944752490114
ENSG00000067225,4.166669225826753,3.4763309213186653,3.555690822092034,3.3638614047925537
ENSG00000156482,3.9533561754194766,3.6558358442447765,3.4414716330198054,3.5975812532324736
ENSG00000069275,3.464977354978879,3.6558358442447765,3.6822547436580217,3.8192155250135262
ENSG00000133112,4.190397570830732,3.6440295546861483,3.69407285137581,3.626920399145956
ENSG00000140988,3.9533561754194766,3.6675043702254166,3.3950358081491343,3.761944752490114
ENSG00000135446,2.514284994569395,3.6675043702254166,3.87616548108772,3.626920399145956
ENSG00000197756,3.768926133027751,3.462186734037936,3.410755225341551,3.4594453236864906
ENSG00000074800,3.9333428995080872,3.7772616207930954,3.6822547436580217,3.6647464627888255
ENSG00000106211,2.7379547891454257,3.221807569613337,3.1442504167167367,3.607456920845759
ENSG00000071082,3.600651774767873,3.7128627965135688,3.69407285137581,3.7276830350088135
ENSG00000148303,3.7325306898437387,3.6440295546861483,3.410755225341551,3.504016079884469
ENSG00000146731,2.6323604217819225,3.607750582650112,3.5143722475727923,3.692205679259783
ENSG00000083845,3.0750281077322423,3.462186734037936,3.5143722475727923,3.6647464627888255
ENSG00000255823,3.121616405280421,3.9399859311879255,3.5953696980175325,3.9529856379314503
ENSG00000164587,4.029629349057124,3.6675043702254166,3.8955615519632767,3.6365118971767516
ENSG00000019582,4.221184151503359,2.5501943451663167,2.2006200062055243,2.5892466434409602
ENSG00000163191,4.117453556734076,3.4478396149867243,3.555690822092034,3.376321103632752
ENSG00000181019,4.182550515961656,3.0219481156848835,2.550204395372618,2.763557374384052
ENSG00000125691,3.7807694207877938,3.607750582650112,3.705752921182629,3.57753242602823
ENSG00000182899,3.668763664726192,3.607750582650112,3.4564831207753124,3.617236012621872
ENSG00000096384,3.7325306898437387,3.2573975012656273,3.7172981405064487,3.2856556544125985
ENSG00000142676,3.668763664726192,3.787602803479377,3.3950358081491343,3.4819790002725934
ENSG00000122406,2.8633654801957547,3.5828121318796367,3.5690928123614465,3.7189309946308673
ENSG00000198744,3.8814839603862112,3.787602803479377,3.6082536683000255,3.6554232378384417
ENSG00000167553,3.7807694207877938,3.4763309213186653,3.6581910874221193,3.567355236259361
ENSG00000247627,3.380805008998033,3.607750582650112,3.6082536683000255,3.5466847593574995
ENSG00000109475,3.655507376113759,3.308514561277786,3.555690822092034,3.424663160458411
ENSG00000196230,3.7448102748683896,3.4902778375611687,3.4262313617571567,3.3638614047925537
ENSG00000196262,3.8490265746440495,3.1659287770029594,3.164405522177318,3.3638614047925537
ENSG00000234745,4.1004949438119604,2.1658092401381523,2.621366007236285,2.2336569238955413
ENSG00000142871,2.514284994569395,3.433283656227895,3.3790653392411225,3.557073405434551
ENSG00000249072,3.0008045709488727,3.6558358442447765,3.6459385697411264,3.770329856767981
ENSG00000108298,3.44870015917134,3.6558358442447765,3.4858465195715955,3.567355236259361
ENSG00000087460,3.8040433339841764,3.3571452485311646,3.2225423906501267,2.8510260681355715
ENSG00000154978,1.898951038510906,3.3882996397519225,3.3950358081491343,3.1859428896479582
ENSG00000213741,3.398215828874764,3.462186734037936,3.2951472904684858,3.424663160458411
ENSG00000034510,3.512277184693684,3.0652434215651727,3.3628356692952823,3.0917701727476015
ENSG00000136810,3.972976766184871,3.086207846769472,3.059304144774305,3.2720053915477703
ENSG00000167658,3.4153286923697355,3.274728477011557,3.164405522177318,2.8510260681355715
ENSG00000072110,3.4321536261610626,3.3728437637468573,3.6082536683000255,3.4479851674109256
ENSG00000170315,3.187665892579375,3.106741774537804,3.346338245634344,3.338466374797098
ENSG00000244052,3.0985935406573017,3.3571452485311646,3.4414716330198054,3.6460122716921415
