GENES,L19,L24,L20,L22,K21,K22,K24
ENSG00000210082,6.187859087917457,6.941518230937043,6.861239291165592,6.825611639438198,6.8427674064381465,6.815816474963182,6.85460738557199
ENSG00000198886,5.414060808589091,5.715405555655569,5.732469356618629,5.892086641017984,5.785850571829981,5.8776205899358445,5.8745329644055095
ENSG00000198938,5.590642104089762,5.513803769608343,5.533415129883814,5.490375128708378,5.4848807981415435,5.543204912759204,5.5179174706474825
ENSG00000198727,5.116316873334139,5.417797927001862,5.501687888830575,5.520159032117848,5.586149124612942,5.545822762244448,5.460706576897263
ENSG00000198888,5.134725858642383,5.366101659160463,5.6481977279575,5.540661345709088,5.517536772341987,5.545822762244448,5.50970663044389
ENSG00000132432,3.768926133027751,4.995260928953865,5.1100431671773245,5.1897584282602365,5.284355606691103,5.219488064203528,5.0512978951847805
ENSG00000198712,5.278865065077294,5.229899236427081,5.265482194004618,5.261578405157404,5.234002951451735,5.244534710038246,5.347125961224032
ENSG00000198899,5.0622388139779,5.17234042355634,5.237151977571963,5.160510897962969,5.142362663053307,5.215858205900375,5.178467238706482
ENSG00000198840,4.65667073819414,4.954464764231235,4.919861930356187,5.061811599641424,5.0736114112163735,5.026232145682532,5.099658972474492
ENSG00000198786,4.258380581623385,5.1085231917175244,5.026313304576332,5.005667581721032,4.756844692108509,4.731924530659477,4.756159572352278
ENSG00000198763,4.793911463914502,5.195259591603398,5.161411169238195,5.153063373927089,5.0054418866935775,5.056538394007211,4.946937866821179
ENSG00000269028,3.668763664726192,5.080681873803552,4.82770540992089,4.879664901842261,4.756844692108509,4.558405946012807,4.5550641227914435
ENSG00000075624,5.078449934886558,4.700586068450937,4.86366819676152,4.81890113367485,4.781857179634499,4.797571202880755,4.846535784059777
ENSG00000212907,3.7807694207877938,4.979766428670193,4.4179112723098015,4.358568592941517,4.488719637618225,3.955733019955274,4.115737638381973
ENSG00000184009,4.699855962886732,4.704706360260851,4.715070760469267,4.8564712538384125,4.712454569884692,4.772394083056866,4.766614286689265
ENSG00000228253,4.497552780261358,4.925213562042259,4.844212626666739,4.808404931891729,4.836783076692118,4.861766713681991,4.817308607117135
ENSG00000211459,4.661562230408809,4.9383198408364,5.034467635367049,4.927624945026669,4.999782158442577,4.9245247176823375,4.89342603960978
ENSG00000198804,4.933336767004209,4.75286945228657,4.6962664770816005,4.7430032320673545,4.719991116182905,4.632767958259293,4.675957603033491
ENSG00000205542,4.718466604383196,4.175069058891595,4.1020957335464345,4.1303386473629375,4.296293782207184,4.373967170632136,4.234661379690817
ENSG00000108518,4.083243767739898,4.382444425294201,4.289670719821888,4.254016815671148,4.318973731148631,4.330854500312218,4.2405453244234685
ENSG00000251562,4.3883116951030114,4.287248653343102,4.40783078058746,4.254016815671148,4.404875030579678,4.262486487017373,4.257992242639348
ENSG00000248527,4.53700851995349,4.3710288804643405,4.4027521707353054,4.443131809074195,4.378814896743082,4.398969900225397,4.407640474921039
