,A18,A19,A20,A21,B18,B19,B20,B21,B22,B24,C18,C19,C21,C22,C23,C24,D18,D19,D20,D21,D22,D24
ENSG00000210082,6.809382162012939,6.335471352651134,6.544136742305169,6.533031241655473,6.572861297248466,6.438279392665594,6.66717571918166,6.40783801391756,6.6740730371604275,6.410095461712693,6.5518393109627135,6.485128206267529,6.628311797927755,6.480428828425623,6.456304622721248,6.5335469810915905,6.3643956314232835,6.57086873303433,6.556411050005963,6.722141726934422,6.702671012304493,6.649134032910308
ENSG00000198886,5.590688883753714,5.692344763691649,5.5746693783924925,5.697712647998649,5.674808752224293,5.704185271563279,5.677357566760178,5.7279958237517565,5.63904465172575,5.668081041383797,5.700125601469284,5.6792864160317915,5.628963964860364,5.620016073718128,5.602881507514882,5.8141142481215,5.680647412628461,5.4581887450267,5.625290359658071,5.665798480578188,5.631284469883707,5.666007181027098
ENSG00000198938,5.341915781253075,5.469734092981422,5.51352513067155,5.43984136804343,5.49881988808123,5.5472121177310125,5.5134201630654776,5.572239811217032,5.422363540878418,5.5541508671738935,5.473128420700833,5.377240589231272,5.414415868456293,5.411568097626773,5.416089263183874,5.483849937404472,5.436835942107397,5.397637177459648,5.4776855621032325,5.459258137556563,5.511239221202042,5.440378125107727
ENSG00000198727,5.347586604886123,5.387458826241036,5.404889878428127,5.324859789348923,5.327828242620272,5.42590486407669,5.434252916349207,5.416212980250589,5.35473614734671,5.607354867845666,5.299280011169079,5.334687799545899,5.28019812244602,5.455367499651585,5.312252814742309,5.447140216375125,5.354014604906423,5.231853432275663,5.423210106650043,5.309211699813651,5.297205675044988,5.458394083517975
ENSG00000198888,5.305233909232194,5.428635882820185,5.318026277567437,5.338308150223373,5.430433851824101,5.41324242393155,5.391273277173945,5.4507870096733155,5.373794187091667,5.452376377677667,5.418469570340827,5.430829583573467,5.290726636424901,5.470379220271334,5.378252106180009,5.268664324805341,5.405677323466375,5.384408508930897,5.4035444130973715,5.3271917287160075,5.250763946528951,5.355792192821605
ENSG00000132432,4.805522535558534,4.7382603047950544,4.900862648391602,4.985592544905289,4.75565386903327,5.001223693093165,4.845048780515076,4.85244608137402,4.86890216862697,5.090321621062741,4.821646779465653,4.9628874138022105,4.852848695061415,4.900207164506641,4.834622948529371,4.851660201033766,5.056244173102309,4.954302971118658,4.689863020503722,4.8758282483736854,4.882435048418822,4.789804775951563
ENSG00000198712,5.22756863920166,5.201336674567822,5.153425149907147,5.093592389352735,5.205631723835121,5.099634108652355,5.077945934257156,5.12649227999528,5.066880134566752,5.250556828574564,5.200341453964904,5.253882180002346,5.175067289713128,5.087861391369039,5.317388732385671,5.063879490253843,5.1644322692478495,5.2376532845916675,5.129679355471376,5.1141213714539715,5.107115315393581,5.196071845245994
ENSG00000198899,5.206086694278231,5.1450976258115055,5.117749545053253,5.155611487811747,5.153071603773859,5.093073814386255,5.114806058544016,5.152014137881772,5.166696594186189,5.239702336071064,5.232324035145529,5.212646698404055,5.038500103689521,5.060178749457326,5.104067810317217,5.028790017635963,5.15523463359657,5.167800294216437,5.1570507210491545,5.1637557465177215,5.067730207460918,5.1258159063386
ENSG00000198840,4.92167458877534,4.930870325627393,5.021508633990523,5.034283478238086,5.07988693263464,4.944319640668038,4.975221390661394,5.053382843005896,5.014198788383349,5.101124739304905,5.015218972030664,5.040831138400733,5.051888021721926,5.069491704462517,5.055343461989377,4.965120444576985,5.130917180379308,5.035377464735041,5.000946127584871,5.023641200381573,4.897587687631784,5.150410318175064
ENSG00000198786,5.091156406064893,4.892999306451313,4.864594668584598,4.961545815063606,5.045814833719665,4.751144128924006,5.0602682553797145,4.876872800349261,4.80126944803972,4.712001536158897,4.956839813999636,4.985154816882969,4.924408807823286,4.781432839460244,4.752473271095025,4.98227255288157,4.667092010564777,4.931001307916156,4.855307353639723,4.976107701797424,5.168220689421829,5.11231787455087
