,I18,I20,I21,I22,I23,I24,J18,J19,J20,J21,J22,J23,J24
ENSG00000210082,6.200476542135186,6.09144300881347,6.296848139458282,6.38006211942508,6.2722337611035215,6.110690149919118,6.1867071629685695,6.377618793547934,6.188593427059361,6.208835997399993,6.304076464723505,6.455957611847947,6.35968567098563
ENSG00000198886,5.384806620404057,5.492479766306975,5.368710226468967,5.251626912560707,5.45673658600448,5.50771833412606,5.3317267400790636,5.3389161276586234,5.463485905510481,5.326524359042608,5.369956284718871,5.390597037548761,5.5206026076202575
ENSG00000198938,5.606020593007606,5.512662853764996,5.670810246234625,5.671688133713481,5.6761334540753206,5.380198707122569,5.612941308270333,5.651045095106038,5.504739924958472,5.636306960263898,5.682149338031051,5.6401642933230764,5.591683789740447
ENSG00000198727,5.294992745238103,5.270365090710177,5.285263457336295,5.130271786328633,5.126282459902628,5.3201420901538174,5.266812168191951,5.180468478593089,5.260746675319808,5.127855857455795,5.263289086622356,5.052651254560616,5.28958881955905
ENSG00000198888,5.079979819904468,5.293593792289416,5.110978928071713,5.124389712260998,5.187935403414452,5.318553735380496,5.031612392352275,5.090713021772771,5.219373239032593,5.114238792650596,5.133532577797482,5.097829483241765,5.224396334081787
ENSG00000132432,4.129609632735238,4.403623294763879,3.9703584926731095,3.798338815957401,3.483138061172535,4.512939350452112,3.8958793137483143,3.683535193234852,3.953166310991038,3.654206777107921,3.6979169836149204,3.885996073301102,4.054840968883377
ENSG00000198712,5.199355024083938,5.173805760171202,5.082580328090983,5.159174103902753,5.272380271123469,5.0503300508754165,5.288921891211462,5.229331421251344,5.375491958993964,5.17087273002168,5.046742259879428,5.102237044572363,5.278388763409093
ENSG00000198899,4.997883220048648,5.109213386648613,5.1331310675685,5.217278984633448,5.085289516278938,5.076993790567702,5.129219124254112,5.070955210465705,5.2077860266691856,5.035838131968086,5.16758397283091,5.157834661304687,5.023160674317856
ENSG00000198840,4.691192193394196,4.829647450444172,4.6584395876002915,4.650278336521167,4.435723515334487,4.888208088413907,4.679241214981376,4.662637963244555,4.818522882731405,4.505682496909473,4.528845027472129,4.612827319177501,4.623394107711343
ENSG00000198786,4.322489816596177,4.650136997271883,4.421056803353289,4.440102715177843,4.228763352422385,4.735312439419504,4.341453531688615,4.1175022050669146,4.464487663870292,4.089940107981904,4.385941322886921,4.370457657909189,4.450222044153567
ENSG00000198763,4.740508179432308,4.968631609675062,4.613418104480454,4.774874261164071,4.723782250365057,4.958978580448677,4.67419952219516,4.748862236955428,4.715967280593466,4.601706163988535,4.713592164158606,4.727909750074866,4.904989040469108
ENSG00000269028,3.8324726195685943,4.056142310772233,3.8592912485825175,3.862865464280312,3.566139775098198,4.095092616990376,3.6185874334231585,3.996572419532041,3.790829262827812,3.624243604639143,3.6379308756444675,4.254254055784777,4.041996995998359
ENSG00000075624,4.975310180485079,4.911414857469852,5.152119647715683,4.92241840080878,5.119565938300177,4.749453650413487,5.02094928324866,5.026063032335275,5.034289902839756,5.024654568101804,5.1300627869691455,5.024530974379852,5.141827110197703
ENSG00000212907,3.8083212605320718,4.247627003335333,3.8882357960881357,3.7411915764024823,3.767463969786638,4.42368814174507,3.6185874334231585,3.409465179780162,3.806725574287823,3.778929473133176,3.52343078516729,3.855865689342757,3.707377264197236
ENSG00000184009,4.696234684454595,4.6610017291077375,4.790234028710879,4.611629375622148,4.880950141037474,4.5849913135110185,4.793191238327158,4.703802644280845,4.783515311644116,4.769856928314385,4.94753411952136,4.6411211111037,4.726324212073499
ENSG00000228253,4.514732749519083,4.6054577089228825,4.45938538329651,4.440102715177843,4.401769999063837,4.633453162678242,4.5676288633851385,4.434337286687597,4.5505393645561005,4.460587335115652,4.1749800268925705,4.361273440057905,4.492295041272503
ENSG00000211459,4.787505975138114,4.6054577089228825,4.604165363172533,4.687488972634876,4.656494957082522,4.476714319373898,4.573235940731437,4.887493774004358,4.663807278931615,4.657352227658516,4.724079821776396,4.759382005811915,4.726324212073499
ENSG00000198804,4.745308608783531,4.593968853953243,4.613418104480454,4.696579237764879,4.693288100776549,4.614349314524391,4.793191238327158,4.9790604341425455,4.7410612834464425,4.70491643093444,4.749827618662817,4.813650362598509,4.6658457239752185
ENSG00000205542,4.792086518345832,4.542599637614435,4.705728970284392,4.766471454105893,4.823734933753592,4.473018583294223,4.6381774847029025,4.732201913701144,4.771568380546403,4.735413789240581,4.7599439353666595,4.819502329636765,4.726324212073499
ENSG00000108518,4.017147583387637,4.360785199031845,3.9962994546266826,3.8203135930175,3.9238927638633956,4.408006613071286,3.9283685134730724,3.858980600975866,4.16146358704819,3.878077405462947,3.9975283432051105,4.01136312131706,4.028985906708018
ENSG00000251562,4.406564033127226,4.263832580929446,4.357691148838731,4.218444899232165,4.366622999904123,4.084227810393085,4.4029708081692736,4.403700615594449,4.396899514263399,4.264669774159124,4.070323957103745,4.370457657909189,4.424101487495812
ENSG00000248527,4.544441122323107,4.509624023285813,4.536881999191374,4.60172914274215,4.578580139509771,4.461848710691072,4.467158538734645,4.662637963244555,4.572777492720768,4.624337503459893,4.553892970679927,4.576295764888955,4.540551971798279
ENSG00000080824,4.189809158526427,4.08218112596944,4.16117954022518,4.118758622997918,4.078402533858362,4.016436797455165,4.076646677512278,4.096574963385542,3.9800463983693493,4.378210054218084,4.19288527158071,4.222963435824971,4.261621891015916
ENSG00000026025,4.49647463849221,4.263832580929446,4.4911082793468005,4.392194266954616,4.537221245707759,4.231266364071274,4.341453531688615,4.644463652314039,4.5505393645561005,4.499363504308546,4.414782106550305,4.5460781514499224,4.4328843675614396
ENSG00000111640,4.393033409308209,3.973692484307767,4.244472142881961,4.203740600758401,4.292390808800279,3.931061994102086,4.085791981383051,4.403700615594449,4.127718019271779,4.2153799404731505,4.3178374248639715,4.2745834299065875,4.292280770133703
ENSG00000120708,4.665591135993913,4.513805933861491,4.631670641631721,4.555923594236803,4.6984354733726805,4.392075251086507,4.704075304320016,4.607093051554085,4.77755968713449,4.779483791319685,4.718849741774779,4.648071220813049,4.686414314143914
ENSG00000166710,4.5957885380958645,4.501207368479549,4.726506460409881,4.502439802382009,4.595794806766081,4.277339969846661,4.622333184648777,4.541527048195146,4.722300063031509,4.657352227658516,4.547689557654545,4.634122359102946,4.5005013197945845
ENSG00000197956,4.532663470519507,4.30065452694909,4.398476580902176,4.341874597089654,4.401769999063837,4.351099748056701,4.584356649845335,4.58787064831106,4.608776167742469,4.530566582888148,4.547689557654545,4.561301091847451,4.350915011796431
ENSG00000123416,4.37238788411041,4.360785199031845,4.4154593675826375,4.354693880289563,4.435723515334487,4.2025675744810975,4.429142348334724,4.216033493857646,4.422783332527224,4.303966449554275,4.261462743629043,4.284595207192055,4.397280305737848
ENSG00000065978,3.6779541977317765,3.860041886214286,3.6889456171291832,3.680579525507455,3.566139775098198,3.9927785895723438,3.647223609464838,3.36651496551232,3.911440862985592,3.654206777107921,4.060243439977047,3.6898766432795163,3.6127146511735155
ENSG00000231500,4.269970567705779,4.150477425148781,4.168391784360762,4.275190830176589,4.08790159981599,4.1477135190814325,4.221770954998139,4.075200394256002,4.194107467418992,4.070663071487371,4.080303870697131,4.062405543739912,3.988904986021578
ENSG00000137154,3.7054227551055354,3.665815085772133,3.7670635238706347,3.7293595132288835,3.6718597681781593,3.9117790099226823,3.7668140862045347,3.7303655632809196,3.774676171299344,3.6089184797181493,3.8833822118621577,3.6341862738464354,3.6516614449412543
ENSG00000137818,3.844333030365923,3.835675297398859,3.7883061856872304,3.942894472377153,3.998975484217099,3.8854759622714568,3.990342051358119,3.683535193234852,3.8826241620035797,3.866208337084412,3.781645421361633,3.840453074125763,3.7252800886346114
ENSG00000167996,4.458926841682275,4.168321711733615,4.42662308215497,4.410429958774209,4.487759551815235,4.182967020686406,4.396319481489396,4.411448226066046,4.51234024934083,4.42024670698248,4.393229873331193,4.553718588608284,4.378991339461726
ENSG00000138326,3.745260672793051,3.9372254953943058,3.809106967264702,3.903680335044108,3.9013627681393834,3.8652844596203875,4.085791981383051,4.158086961553731,3.85295235654951,3.778929473133176,3.8464331514252854,3.9848304545023745,3.858015811471134
ENSG00000135480,3.9766624112348277,4.015766903694688,4.029872694179852,4.110662533774517,4.1519824972783645,4.062137520784734,4.029621891988235,3.9487007596547006,4.104571248742085,3.912862069373913,4.13817805663182,4.086981877246271,3.961263111470157
ENSG00000134333,3.8560544190675703,3.626058494765902,3.9070769590862584,3.8203135930175,3.767463969786638,3.780176448278758,3.8392688624191735,3.9729230242214872,3.689748487324904,4.051007114426786,3.8338070558442063,3.8247991867145834,4.015803294825787
